parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,average_regret
2000,500,50,15,16.287309
2000,250,50,30,16.296156
2000,1000,25,15,16.339189
2000,1000,50,30,16.402332
2000,1000,50,15,16.562081
2000,500,50,30,16.592148
2000,500,25,15,16.987694
2000,1000,25,30,17.304829
2000,500,25,30,17.389408
2000,250,50,15,18.225040
500,250,50,30,19.165571
2000,250,25,30,23.986143
500,500,25,30,26.241439
1000,500,25,30,26.313001
1500,1000,50,30,26.531220
1000,250,25,30,26.629245
1000,250,50,15,26.872925
1000,250,50,30,26.924732
1000,500,50,15,27.540470
1500,250,50,30,27.639567
500,250,25,15,28.746054
1000,1000,50,15,29.634418
500,1000,25,15,30.170472
1000,500,50,30,30.893612
1500,500,50,30,36.070051
1500,1000,50,15,36.355117
1500,1000,25,30,38.269337
2000,250,25,15,38.564904
500,250,50,15,39.791838
500,500,25,15,40.241791
1500,250,25,30,40.531645
500,1000,50,15,41.308871
1000,1000,25,15,41.863705
1000,1000,25,30,41.926729
1500,1000,25,15,42.228630
1000,250,25,15,42.887327
1500,500,25,30,43.308842
1500,500,25,15,43.838412
500,1000,25,30,46.823021
1500,500,50,15,47.409627
500,1000,50,30,48.486518
1500,250,25,15,49.909280
1500,250,50,15,50.322783
1000,1000,50,30,52.782891
500,500,50,15,56.001356
500,250,25,30,56.007274
1000,500,25,15,58.367780
500,500,50,30,79.217888
