claim_id,category,subject,metric,value,unit,source
realworld_LUBM_seq_ms,realworld,LUBM,sequential_time,0.001,ms,target/criterion/sequential_baseline/sequential/LUBM/new/estimates.json
realworld_LUBM_adaptive_ms,realworld,LUBM,adaptive_time,0.012,ms,target/criterion/adaptive_classification/hierarchical/LUBM/new/estimates.json
realworld_LUBM_speedup,realworld,LUBM,speedup_seq_over_adaptive,0.068,x,target/criterion/sequential_baseline/sequential/LUBM/new/estimates.json|target/criterion/adaptive_classification/hierarchical/LUBM/new/estimates.json
realworld_PATO_seq_ms,realworld,PATO,sequential_time,4.020,ms,target/criterion/sequential_baseline/sequential/PATO/new/estimates.json
realworld_PATO_adaptive_ms,realworld,PATO,adaptive_time,7.654,ms,target/criterion/adaptive_classification/hierarchical_grail/PATO/new/estimates.json
realworld_PATO_speedup,realworld,PATO,speedup_seq_over_adaptive,0.525,x,target/criterion/sequential_baseline/sequential/PATO/new/estimates.json|target/criterion/adaptive_classification/hierarchical_grail/PATO/new/estimates.json
realworld_DOID_seq_ms,realworld,DOID,sequential_time,6.047,ms,target/criterion/sequential_baseline/sequential/DOID/new/estimates.json
realworld_DOID_adaptive_ms,realworld,DOID,adaptive_time,11.931,ms,target/criterion/adaptive_classification/hierarchical_grail/DOID/new/estimates.json
realworld_DOID_speedup,realworld,DOID,speedup_seq_over_adaptive,0.507,x,target/criterion/sequential_baseline/sequential/DOID/new/estimates.json|target/criterion/adaptive_classification/hierarchical_grail/DOID/new/estimates.json
realworld_UBERON_seq_ms,realworld,UBERON,sequential_time,19.528,ms,target/criterion/sequential_baseline/sequential/UBERON/new/estimates.json
realworld_UBERON_adaptive_ms,realworld,UBERON,adaptive_time,42.524,ms,target/criterion/adaptive_classification/hierarchical_grail/UBERON/new/estimates.json
realworld_UBERON_speedup,realworld,UBERON,speedup_seq_over_adaptive,0.459,x,target/criterion/sequential_baseline/sequential/UBERON/new/estimates.json|target/criterion/adaptive_classification/hierarchical_grail/UBERON/new/estimates.json
realworld_GO_Basic_seq_ms,realworld,GO_Basic,sequential_time,38.854,ms,target/criterion/sequential_baseline/sequential/GO_Basic/new/estimates.json
realworld_GO_Basic_adaptive_ms,realworld,GO_Basic,adaptive_time,59.933,ms,target/criterion/adaptive_classification/hierarchical_grail/GO_Basic/new/estimates.json
realworld_GO_Basic_speedup,realworld,GO_Basic,speedup_seq_over_adaptive,0.648,x,target/criterion/sequential_baseline/sequential/GO_Basic/new/estimates.json|target/criterion/adaptive_classification/hierarchical_grail/GO_Basic/new/estimates.json
disjunctive_disjunctive_simple.owl_hermit_ms,head_to_head,disjunctive_simple.owl,hermit_wall_clock,4377,ms,results/verification_20260208_230359.txt
disjunctive_disjunctive_simple.owl_spacl_ms,head_to_head,disjunctive_simple.owl,spacl_wall_clock,107,ms,results/verification_20260208_230359.txt
disjunctive_disjunctive_simple.owl_speedup,head_to_head,disjunctive_simple.owl,speedup_hermit_over_spacl,40.9,x,results/verification_20260208_230359.txt
disjunctive_disjunctive_test.owl_hermit_ms,head_to_head,disjunctive_test.owl,hermit_wall_clock,3537,ms,results/verification_20260208_230359.txt
disjunctive_disjunctive_test.owl_spacl_ms,head_to_head,disjunctive_test.owl,spacl_wall_clock,5,ms,results/verification_20260208_230359.txt
disjunctive_disjunctive_test.owl_speedup,head_to_head,disjunctive_test.owl,speedup_hermit_over_spacl,707.4,x,results/verification_20260208_230359.txt
